teacher_word,constrained_word,constrained_top1_match,free_output,free_valid,free_in_candidates,free_history_consistent,candidate_count
CRUMB,CRUMB,True,BZIYEJEYBZIYBZBZ,False,False,False,2
BLARE,BLARE,True,BZIYEJEYBZIYBZBZ,False,False,False,3
WHOOP,WHOOP,True,BZIYEJEYBZIYBZBZ,False,False,False,6
GUIDE,JUICE,False,BZIYEJEYBZIYEJEJ,False,False,False,2
CRANK,CRANK,True,BZIYEJEYBZIYBZBZ,False,False,False,5
AROSE,ERASE,False,BZIYEJEYBZIYEJEJ,False,False,False,2
CRAVE,CRAVE,True,BZIYEJEYBZIYEJEJ,False,False,False,2
TAKER,TAKER,True,BZIYEJEYBZIYEJEJ,False,False,False,2
COMMA,COMMA,True,BZIYEJEYBZIYBZBZ,False,False,False,7
PICKY,PICKY,True,BZIYEJEYBZIYBZBZ,False,False,False,4
BANAL,BANAL,True,BZIYEJEYBZIYBZBZ,False,False,False,4
BAKER,BAKER,True,BZIYEJEYBZIYEJEJ,False,False,False,4
WOMEN,WOMEN,True,BZIYEJEYBZIYEJEJ,False,False,False,14
GRACE,GRACE,True,BZIYEJEYBZIYEJEJ,False,False,False,26
GRAVE,GRAVE,True,BZIYEJEYBZIYEJEJ,False,False,False,2
SPICE,SPICE,True,BZIYEJEYBZIYEJEJ,False,False,False,3
TAPER,TAPER,True,BZIYEJEYBZIYEJEJ,False,False,False,28
LOOSE,LOOSE,True,BZIYEJEYBZIYEJEJ,False,False,False,20
FUROR,FUROR,True,BZIYEJEYBZIYBZBZ,False,False,False,6
BLOWN,BLOWN,True,BZIYEJEYBZIYBZBZ,False,False,False,14
OZONE,PHONE,False,BZIYEJEYBZIYEJEJ,False,False,False,2
TRAIL,TRAIL,True,BZIYEJEYBZIYEJEJ,False,False,False,18
REUSE,REUSE,True,BZIYEJEYBZIYEJEJ,False,False,False,2
IDIOT,TWIXT,False,BZIYEJEYBZIYBZBZ,False,False,False,2
ALARM,APART,False,BZIYEJEYBZIYBZBZ,False,False,False,2
FEVER,FEVER,True,BZIYEJEYBZIYEJEJ,False,False,False,6
HEAVE,HEAVE,True,BZIYEJEYBZIYBZBZ,False,False,False,11
LANKY,LANKY,True,BZIYEJEYBZIYBZBZ,False,False,False,2
BRIAR,FRIAR,False,BZIYEJEYBZIYEJEJ,False,False,False,4
DECAL,DECAL,True,BZIYEJEYBZIYBZBZ,False,False,False,2
GOODY,GOODY,True,BZIYEJEYBZIYBZBZ,False,False,False,16
CANDY,CANDY,True,BZIYEJEYBZIYBZBZ,False,False,False,9
WOMEN,WOMEN,True,BZIYEJEYBZIYEJEJ,False,False,False,14
WOMEN,WOMEN,True,BZIYEJEYBZIYEJEJ,False,False,False,14
LOVER,LOVER,True,BZIYEJEYBZIYEJEJ,False,False,False,2
GRACE,GRACE,True,BZIYEJEYBZIYEJEJ,False,False,False,26
COMMA,COMMA,True,BZIYEJEYBZIYBZBZ,False,False,False,7
CAUSE,CAUSE,True,BZIYEJEYBZIYEJEJ,False,False,False,2
HERON,HERON,True,BZIYEJEYBZIYEJEJ,False,False,False,2
FLOSS,FLOSS,True,BZIYEJEYBZIYEJEJ,False,False,False,17
SAUCY,SAUCY,True,BZIYEJEYBZIYBZBZ,False,False,False,2
DECRY,DERBY,False,BZIYEJEYBZIYEJEJ,False,False,False,2
HOVER,HOVER,True,BZIYEJEYBZIYEJEJ,False,False,False,9
DWELT,DWELT,True,BZIYEJEYBZIYEJEJ,False,False,False,4
INFER,INFER,True,BZIYEJEYBZIYEJEJ,False,False,False,2
FOIST,JOIST,False,BZIYEJEYBZIYBZBZ,False,False,False,3
FROZE,FROZE,True,BZIYEJEYBZIYEJEJ,False,False,False,2
CHARD,CHARD,True,BZIYEJEYBZIYBZBZ,False,False,False,3
BOOST,GHOST,False,BZIYEJEYBZIYBZBZ,False,False,False,2
GRADE,GRADE,True,BZIYEJEYBZIYEJEJ,False,False,False,5
INFER,INFER,True,BZIYEJEYBZIYEJEJ,False,False,False,2
STAGE,STAKE,False,BZIYEJEYBZIYEJEJ,False,False,False,3
IDIOT,TWIXT,False,BZIYEJEYBZIYBZBZ,False,False,False,2
CRATE,CRATE,True,BZIYEJEYBZIYEJEJ,False,False,False,3
NAVEL,NAVEL,True,BZIYEJEYBZIYEJEJ,False,False,False,20
HASTE,HASTE,True,BZIYEJEYBZIYEJEJ,False,False,False,4
SHORE,SHORE,True,BZIYEJEYBZIYBZBZ,False,False,False,5
HATER,HATER,True,BZIYEJEYBZIYEJEJ,False,False,False,3
DECAY,DECAY,True,BZIYEJEYBZIYBZBZ,False,False,False,2
BRIAR,FRIAR,False,BZIYEJEYBZIYEJEJ,False,False,False,4
CLING,FLING,False,BZIYEJEYBZIYBZBZ,False,False,False,2
CRUST,CRUST,True,BZIYEJEYBZIYEJEJ,False,False,False,13
BREAD,BREAD,True,BZIYEJEYBZIYBZBZ,False,False,False,8
BREED,BREED,True,BZIYEJEYBZIYEJEJ,False,False,False,4
PANIC,PANIC,True,BZIYEJEYBZIYEJEJ,False,False,False,14
DWELT,DWELT,True,BZIYEJEYBZIYEJEJ,False,False,False,4
FELLA,FELLA,True,BZIYEJEYBZIYBZBZ,False,False,False,6
SEIZE,SEIZE,True,BZIYEJEYBZIYEJEJ,False,False,False,2
PASTE,PASTE,True,BZIYEJEYBZIYEJEJ,False,False,False,3
FOCUS,FOCUS,True,BZIYEJEYBZIYBZBZ,False,False,False,2
CAROL,CAROL,True,BZIYEJEYBZIYBZBZ,False,False,False,6
FUDGE,FUDGE,True,BZIYEJEYBZIYEJEJ,False,False,False,2
SHARE,SNARE,False,BZIYEJEYBZIYEJEJ,False,False,False,4
CLUED,CLUED,True,BZIYEJEYBZIYEJEJ,False,False,False,4
HIPPY,HIPPY,True,BZIYEJEYBZIYBZBZ,False,False,False,2
JOIST,JOIST,True,BZIYEJEYBZIYEJEJ,False,False,False,2
DECOY,DECOY,True,BZIYEJEYBZIYEJEJ,False,False,False,6
