prompt_style,expected,output,strict_valid,exact,history_consistent,turn,candidate_count
curriculum,ADORN,SHEAR,True,False,False,2,78
gameplay,ADORN,CRANE,True,False,False,2,78
curriculum,FELLA,LEACH,True,False,False,3,6
gameplay,FELLA,LEACH,True,False,False,3,6
curriculum,SLASH,SHEAR,True,False,False,2,22
gameplay,SLASH,CRANE,True,False,False,2,22
curriculum,TRAIL,SHEAR,True,False,False,2,18
gameplay,TRAIL,CRANE,True,False,False,2,18
curriculum,ADMIT,DAILY,True,False,False,3,1
gameplay,ADMIT,CIRCA,True,False,False,3,1
curriculum,ADOBE,ALPHA,True,False,False,3,1
gameplay,ADOBE,BAGEL,True,False,False,3,1
curriculum,ALERT,SHEAR,True,False,False,2,34
gameplay,ALERT,CRANE,True,False,False,2,34
curriculum,HEAVE,DAILY,True,False,False,3,11
gameplay,HEAVE,BAGEL,True,False,False,3,11
curriculum,AGAPE,MEAVE,True,False,False,4,5
gameplay,AGAPE,MEAVE,True,False,False,4,5
curriculum,AGATE,AGAPE,True,False,False,5,1
gameplay,AGATE,AGAPE,True,False,False,5,1
curriculum,ALIGN,SHEAR,True,False,False,2,12
gameplay,ALIGN,CRANE,True,False,False,2,12
curriculum,AHEAD,LEACH,True,False,False,3,2
gameplay,AHEAD,LEACH,True,False,False,3,2
curriculum,AIDER,SHEAR,True,False,False,2,1
gameplay,AIDER,CRANE,True,False,False,2,1
curriculum,ALARM,ABORT,True,False,False,3,2
gameplay,ALARM,ADORN,True,False,False,3,2
curriculum,ALLAY,ALOUD,True,False,False,3,1
gameplay,ALLAY,BLOAT,True,False,False,3,1
curriculum,ALOOF,ALOUD,True,False,False,3,1
gameplay,ALOOF,BLOAT,True,False,False,3,1
curriculum,AMAZE,ABOVE,True,False,False,5,2
gameplay,AMAZE,ABOVE,True,False,False,5,2
curriculum,AMITY,ALIEN,True,False,False,3,2
gameplay,AMITY,ALIEN,True,False,False,3,2
curriculum,AMPLY,ALOUD,True,False,False,3,5
gameplay,AMPLY,BLOOD,True,False,False,3,5
curriculum,COMMA,ALOUD,True,False,False,3,7
gameplay,COMMA,BLOOD,True,False,False,3,7
curriculum,APPLY,AMPLY,True,False,False,4,1
gameplay,APPLY,AMPLY,True,False,False,4,1
curriculum,AROSE,SHEAR,True,False,False,2,2
gameplay,AROSE,CRANE,True,False,False,2,2
curriculum,STRAP,SHEAR,True,False,False,2,21
gameplay,STRAP,CRANE,True,False,False,2,21
curriculum,STALK,SHEAR,True,False,False,2,43
gameplay,STALK,CRANE,True,False,False,2,43
curriculum,ASSAY,BASTA,True,False,False,3,1
gameplay,ASSAY,STAMP,True,False,False,3,1
curriculum,BLARE,BRACE,True,False,False,3,3
gameplay,BLARE,CRANE,True,False,False,3,3
curriculum,AWARE,CLARE,True,False,False,4,1
gameplay,AWARE,CLARE,True,False,False,4,1
curriculum,CABLE,SHEAR,True,False,False,2,26
gameplay,CABLE,CRANE,True,False,False,2,26
curriculum,BADGE,BACER,True,False,False,3,3
gameplay,BADGE,CAMEL,True,False,False,3,3
curriculum,BAWDY,BAGGY,True,False,False,3,13
gameplay,BAWDY,TALON,True,False,False,3,13
curriculum,NAVEL,SHEAR,True,False,False,2,20
gameplay,NAVEL,CRANE,True,False,False,2,20
curriculum,LABEL,VALET,True,False,False,3,5
gameplay,LABEL,VALET,True,False,False,3,5
curriculum,TAPER,SHEAR,True,False,False,2,28
gameplay,TAPER,CRANE,True,False,False,2,28
curriculum,LAGER,BAYER,True,False,True,3,12
gameplay,LAGER,PARER,True,False,False,3,12
curriculum,BAKER,MAGER,True,False,False,4,4
gameplay,BAKER,MAGER,True,False,False,4,4
curriculum,BANJO,BANAL,True,False,False,4,1
gameplay,BANJO,BANAL,True,False,False,4,1
curriculum,PARTY,SHEAR,True,False,False,2,26
gameplay,PARTY,CRANE,True,False,False,2,26
curriculum,CAROL,BARTY,True,False,False,3,6
gameplay,CAROL,BARTY,True,False,False,3,6
curriculum,BARON,FARCE,True,False,False,4,1
gameplay,BARON,FARCE,True,False,False,4,1
curriculum,SALON,SHEAR,True,False,False,2,20
gameplay,SALON,CRANE,True,False,False,2,20
curriculum,CASTE,SHEAR,True,False,False,2,9
gameplay,CASTE,CRANE,True,False,False,2,9
curriculum,BASTE,FASHY,True,False,False,3,5
gameplay,BASTE,CASTE,True,False,False,3,5
curriculum,BEARD,BREACH,False,False,False,3,5
gameplay,BEARD,BEGAN,True,False,False,3,5
curriculum,BETEL,SHEAR,True,False,False,2,121
gameplay,BETEL,CRANE,True,False,False,2,121
curriculum,LINEN,SHEAR,True,False,False,2,35
gameplay,LINEN,CRANE,True,False,False,2,35
curriculum,BEFIT,MINEY,True,False,False,3,7
gameplay,BEFIT,CINCH,True,False,False,3,7
